,Name,Representation,Representative_Docs,Better_Names
154,153_benghazi_obama_libya_attack,"['benghazi', 'obama', 'libya', 'attack', 'americans', 'killed', 'consulate', 'died', 'scandal', 'terrorist']","['benghazi was a massive cover up', 'don t forget benghazi', 'the anti benghazi']",Benghazi Attack and Obama Administration Response
155,154_meeting_today_presbyterian_great,"['meeting', 'today', 'presbyterian', 'great', 'with', 'ceo', 'pastors', 'oval', 'morning', 'leaders']","['great meeting with at the today maga', 'great meeting you', 'great meeting today at the']",Today's Great Meeting with Presbyterian Leaders and CEO
156,155_spying_surveillance_spy_campaign,"['spying', 'surveillance', 'spy', 'campaign', 'intelligence', 'watergate', 'unmasking', 'informant', 'spygate', 'spied']","['new bombshell in the obama spying scandal did other agencies spy on trump campaign even clapper worlds dumbest former intelligence head who has the problem of lying a lot used the word spy when describing the illegal activities', 'trump should be happy that the fbi was spying on his campaign no james clapper i am not happy spying on a campaign would be illegal and a scandal to boot', 'clapper has now admitted that there was spying in my campaign large dollars were paid to the spy far beyond normal starting to look like one of the biggest political scandals in u s history spygate a terrible thing']",Political Surveillance Controversies
157,156_polls_poll_fake_suppression,"['polls', 'poll', 'fake', 'suppression', 'pollster', 'fox', 'polling', 'abc', 'election', 'phony']","['internal real polls show i am beating all of the dem candidates the fake news polls here we go again just like show losing or tied their polls will be proven corrupt on november rd just like the fake news is corrupt', 'other good polls also in fifties despite only fake news and then phony polls by a p cnn nbc and as always fox who were way off on election', 'here we go with the fake polls just like what happened with the election against crooked hillary clinton abc nbc cnn they all got it wrong on purpose suppression polls so early they will never learn']",Election Polling Discrepancies and Allegations of Suppression
158,157_venezuela_cuba_maduro_venezuelan,"['venezuela', 'cuba', 'maduro', 'venezuelan', 'cuban', 'democracy', 'hugo', 'chavez', 'regime', 'freedom']","['the citizens of venezuela have suffered for too long at the hands of the illegitimate maduro regime today i have officially recognized the president of the venezuelan national assembly juan guaido as the interim president of venezuela', 'i am continuing to monitor the situation in venezuela very closely the united states stands with the people of venezuela and their freedom', 'i am monitoring the situation in venezuela very closely the united states stands with the people of venezuela and their freedom']",Venezuelan Political Crisis and Relations with Cuba
159,158_friends_fox_minutes_enjoy,"['friends', 'fox', 'minutes', 'enjoy', 'morning', 'amp', 'doing', 'tomorrow', 'at', 'be']","['doing fox amp friends at a m', 'will be on fox amp friends at enjoy', 'fox amp friends at']",Appearances on Fox & Friends TV Program
160,159_strzok_ohr_bruce_peter,"['strzok', 'ohr', 'bruce', 'peter', 'fbi', 'page', 'lisa', 'agent', 'lover', 'text']","['where are the important text messages between fbi lovers lisa page and peter strzok blaming samsung', 'why was the fbi s sick loser peter strzok working on the totally discredited mueller team of angry amp conflicted democrats when strzok was giving crooked hillary a free pass yet telling his lover lawyer lisa page that we ll stop trump from becoming president witch hunt', 'the fbi received documents from bruce ohr of the justice department amp whose wife nelly worked for fusion gps disgraced and fired fbi agent peter strzok this is too crazy to be believed the rigged witch hunt has zero credibility']","Peter Strzok, Lisa Page, and Bruce Ohr FBI Controversy"
161,160_screen_apple_iphone_larger,"['screen', 'apple', 'iphone', 'larger', 'steve', 'samsung', 'jobs', 'yardstick', 'quality', 'excellence']","['i predicted apple s stock fall based on their dumb refusal to give the option of a larger iphone screen like samsung i sold my apple stock', 'i cannot believe that apple didn t come out with a larger screen iphone samsung is stealing their business steve jobs is spinning in grave', 'i can t believe apple isn t moving faster to create a larger iphone screen bring back steve jobs']",Apple iPhone's Transition to Larger Screens
162,161_fox_foxnews_biased_their,"['fox', 'foxnews', 'biased', 'their', 'outlet', 'even', 'debates', 'anti', 'anchor', 'radical']","['even the radical left do nothing democrats laughed at the fox suggestion no respect for the people running but fox keeps on plugging to try and become politically correct they put rino paul ryan on their board they hire debate questions to crooked hillary', 'foxnews is at it again so different from what they used to be during the primaries amp before proud warriors now new fox polls which have always been terrible to me they had me losing big to crooked hillary have me down to sleepy joe even considering', 'foxnews is out with another of their phony polls done by the same group of haters that got it even more wrong in watch what happens in november fox is terrible']",Allegations of Bias at Fox News
163,162_snowden_traitor_russia_spy,"['snowden', 'traitor', 'russia', 'spy', 'edward', 'damage', 'asylum', 'face', 'justice', 'he']","['call it any way you like but snowden is a traitor when our country was great do you know what we did to traitors', 'traitor snowden has requested asylum in russia why would russia grant it snowden already gave them all the intel he stole', 'trump terrible traitor snowden embarrassing us via by']",Edward Snowden's Asylum in Russia and Espionage Controversy
164,163_trumptuesday_tomorrow_tune_trumproast,"['trumptuesday', 'tomorrow', 'tune', 'trumproast', 'pm', 'tonight', 'am', 'on', 'airs', 'morning']","['tomorrow is trumptuesday on am', 'tune in for trumptuesday on tomorrow morning', 'tomorrow is trumptuesday on am tune in']",Trump Tuesday Broadcast Schedule
165,164_bernie_sanders_dnc_nomination,"['bernie', 'sanders', 'dnc', 'nomination', 'rigged', 'supporters', 'kaine', 'crazy', 'him', 'system']","['bernie sanders is being treated very badly by the dems the system is rigged against him he should run as an independent run bernie run', 'the dnc on bernie sanders looks like they re going to do it to him again doesn t it', 'bernie sanders is out thank you to elizabeth warren if not for her bernie would have won almost every state on super tuesday this ended just like the democrats amp the dnc wanted same as the crooked hillary fiasco the bernie people should come to the republican party trade']",Bernie Sanders and DNC Nomination Controversy
